DEGRADED	 PESQMOS	 SUBJMOS	 COND	 SAMPLE_FREQ	 CRUDE_DELAY
D8_770_chinese_male_tchc30_testdata.ch01_dkitchen_noise.5yc4Y.enh.wav	 2.844	 0.000	 0	 16000	8.0000
 D8_770_chinese_male_tchc30_testdata.ch01_dliving_noise.vTVge.enh.wav	 2.578	 0.000	 0	 16000	0.0000
 D8_770_chinese_male_tchc30_testdata.ch01_dwashing_noise.5trTK.enh.wav	 3.127	 0.000	 0	 16000	8.0000
 D8_770_chinese_male_tchc30_testdata.ch01_nfield_noise.43hJl.enh.wav	 2.991	 0.000	 0	 16000	8.0000
 D8_770_chinese_male_tchc30_testdata.ch01_npark_noise.ObvBs.enh.wav	 2.608	 0.000	 0	 16000	8.0000
 D8_770_chinese_male_tchc30_testdata.ch01_nriver_noise.2cuDQ.enh.wav	 2.829	 0.000	 0	 16000	0.0000
 D8_770_chinese_male_tchc30_testdata.ch01_ohallway_noise.x4NQI.enh.wav	 3.048	 0.000	 0	 16000	0.0000
 D8_770_chinese_male_tchc30_testdata.ch01_omeeting_noise.mMyaO.enh.wav	 2.494	 0.000	 0	 16000	8.0000
 D8_770_chinese_male_tchc30_testdata.ch01_ooffice_noise.0XIND.enh.wav	 3.074	 0.000	 0	 16000	8.0000
 D8_770_chinese_male_tchc30_testdata.ch01_pcafeter_noise.2RR0u.enh.wav	 2.438	 0.000	 0	 16000	0.0000
 D8_770_chinese_male_tchc30_testdata.ch01_presto_noise.wf0kd.enh.wav	 2.463	 0.000	 0	 16000	8.0000
 D8_770_chinese_male_tchc30_testdata.ch01_pstation_noise.w0iQY.enh.wav	 2.537	 0.000	 0	 16000	8.0000
 D8_770_chinese_male_tchc30_testdata.ch01_scafe_noise.Nvm9m.enh.wav	 2.927	 0.000	 0	 16000	0.0000
 D8_770_chinese_male_tchc30_testdata.ch01_spsquare_noise.fk3Vv.enh.wav	 2.852	 0.000	 0	 16000	0.0000
 D8_770_chinese_male_tchc30_testdata.ch01_straffic_noise.wlj1r.enh.wav	 2.514	 0.000	 0	 16000	0.0000
 D8_770_chinese_male_tchc30_testdata.ch01_tbus_noise.ejwJz.enh.wav	 3.097	 0.000	 0	 16000	8.0000
 D8_770_chinese_male_tchc30_testdata.ch01_tcar_noise.LOykM.enh.wav	 3.105	 0.000	 0	 16000	0.0000
 D8_770_chinese_male_tchc30_testdata.ch01_tmetro_noise.hG1Wl.enh.wav	 3.002	 0.000	 0	 16000	8.0000
 
