DEGRADED	 PESQMOS	 SUBJMOS	 COND	 SAMPLE_FREQ	 CRUDE_DELAY
D8_770_chinese_male_tchc30_testdata.ch01_dkitchen_noise.5yc4Y.wav	 2.724	 0.000	 0	 16000	8.0000
 D8_770_chinese_male_tchc30_testdata.ch01_dliving_noise.vTVge.wav	 2.311	 0.000	 0	 16000	0.0000
 D8_770_chinese_male_tchc30_testdata.ch01_dwashing_noise.5trTK.wav	 3.179	 0.000	 0	 16000	8.0000
 D8_770_chinese_male_tchc30_testdata.ch01_nfield_noise.43hJl.wav	 2.723	 0.000	 0	 16000	8.0000
 D8_770_chinese_male_tchc30_testdata.ch01_npark_noise.ObvBs.wav	 2.372	 0.000	 0	 16000	8.0000
 D8_770_chinese_male_tchc30_testdata.ch01_nriver_noise.2cuDQ.wav	 2.304	 0.000	 0	 16000	0.0000
 D8_770_chinese_male_tchc30_testdata.ch01_ohallway_noise.x4NQI.wav	 3.055	 0.000	 0	 16000	8.0000
 D8_770_chinese_male_tchc30_testdata.ch01_omeeting_noise.mMyaO.wav	 2.342	 0.000	 0	 16000	8.0000
 D8_770_chinese_male_tchc30_testdata.ch01_ooffice_noise.0XIND.wav	 3.188	 0.000	 0	 16000	0.0000
 D8_770_chinese_male_tchc30_testdata.ch01_pcafeter_noise.2RR0u.wav	 2.182	 0.000	 0	 16000	0.0000
 D8_770_chinese_male_tchc30_testdata.ch01_presto_noise.wf0kd.wav	 1.932	 0.000	 0	 16000	0.0000
 D8_770_chinese_male_tchc30_testdata.ch01_pstation_noise.w0iQY.wav	 2.128	 0.000	 0	 16000	8.0000
 D8_770_chinese_male_tchc30_testdata.ch01_scafe_noise.Nvm9m.wav	 2.611	 0.000	 0	 16000	0.0000
 D8_770_chinese_male_tchc30_testdata.ch01_spsquare_noise.fk3Vv.wav	 2.614	 0.000	 0	 16000	0.0000
 D8_770_chinese_male_tchc30_testdata.ch01_straffic_noise.wlj1r.wav	 2.247	 0.000	 0	 16000	0.0000
 D8_770_chinese_male_tchc30_testdata.ch01_tbus_noise.ejwJz.wav	 3.202	 0.000	 0	 16000	0.0000
 D8_770_chinese_male_tchc30_testdata.ch01_tcar_noise.LOykM.wav	 3.457	 0.000	 0	 16000	8.0000
 D8_770_chinese_male_tchc30_testdata.ch01_tmetro_noise.hG1Wl.wav	 2.888	 0.000	 0	 16000	8.0000
 
