DEGRADED	 PESQMOS	 SUBJMOS	 COND	 SAMPLE_FREQ	 CRUDE_DELAY
D8_770_chinese_male_tchc30_testdata.ch01_dkitchen_noise.5yc4Y.enh.wav	 2.226	 0.000	 0	 16000	8.0000
 D8_770_chinese_male_tchc30_testdata.ch01_dliving_noise.vTVge.enh.wav	 1.760	 0.000	 0	 16000	0.0000
 D8_770_chinese_male_tchc30_testdata.ch01_dwashing_noise.5trTK.enh.wav	 2.785	 0.000	 0	 16000	8.0000
 D8_770_chinese_male_tchc30_testdata.ch01_nfield_noise.43hJl.enh.wav	 2.515	 0.000	 0	 16000	8.0000
 D8_770_chinese_male_tchc30_testdata.ch01_npark_noise.ObvBs.enh.wav	 1.937	 0.000	 0	 16000	8.0000
 D8_770_chinese_male_tchc30_testdata.ch01_nriver_noise.2cuDQ.enh.wav	 2.071	 0.000	 0	 16000	8.0000
 D8_770_chinese_male_tchc30_testdata.ch01_ohallway_noise.x4NQI.enh.wav	 2.648	 0.000	 0	 16000	0.0000
 D8_770_chinese_male_tchc30_testdata.ch01_omeeting_noise.mMyaO.enh.wav	 1.859	 0.000	 0	 16000	8.0000
 D8_770_chinese_male_tchc30_testdata.ch01_ooffice_noise.0XIND.enh.wav	 2.686	 0.000	 0	 16000	8.0000
 D8_770_chinese_male_tchc30_testdata.ch01_pcafeter_noise.2RR0u.enh.wav	 1.959	 0.000	 0	 16000	8.0000
 D8_770_chinese_male_tchc30_testdata.ch01_presto_noise.wf0kd.enh.wav	 1.709	 0.000	 0	 16000	8.0000
 D8_770_chinese_male_tchc30_testdata.ch01_pstation_noise.w0iQY.enh.wav	 1.684	 0.000	 0	 16000	8.0000
 D8_770_chinese_male_tchc30_testdata.ch01_scafe_noise.Nvm9m.enh.wav	 2.358	 0.000	 0	 16000	0.0000
 D8_770_chinese_male_tchc30_testdata.ch01_spsquare_noise.fk3Vv.enh.wav	 2.241	 0.000	 0	 16000	0.0000
 D8_770_chinese_male_tchc30_testdata.ch01_straffic_noise.wlj1r.enh.wav	 1.858	 0.000	 0	 16000	0.0000
 D8_770_chinese_male_tchc30_testdata.ch01_tbus_noise.ejwJz.enh.wav	 2.912	 0.000	 0	 16000	0.0000
 D8_770_chinese_male_tchc30_testdata.ch01_tcar_noise.LOykM.enh.wav	 2.759	 0.000	 0	 16000	0.0000
 D8_770_chinese_male_tchc30_testdata.ch01_tmetro_noise.hG1Wl.enh.wav	 1.913	 0.000	 0	 16000	8.0000
 
